RNR	BroodofOrigin	BroodofRearing	CF_pair	Age	Treatment
BD_83320	BL.0325.0	BL.0325.0	100_325	14	Enlarged
BD_29992	BL.0325.0	BL.0325.0	100_325	14	Enlarged
BD_29991	BL.0325.0	BL.0325.0	100_325	14	Enlarged
BD_29990	BL.0325.0	BL.0325.0	100_325	14	Enlarged
BD_29989	WH.0100.0	BL.0325.0	100_325	14	Enlarged
BD_29988	WH.0100.0	BL.0325.0	100_325	14	Enlarged
BD_29987	WH.0100.0	BL.0325.0	100_325	14	Enlarged
BD_13800	WH.0100.0	BL.0325.0	100_325	14	Enlarged
BD_13799	BL.0325.0	BL.0325.0	100_325	14	Enlarged
BD_13798	BL.0325.0	BL.0325.0	100_325	14	Enlarged
BD_13797	WH.0100.0	BL.0325.0	100_325	14	Enlarged
BD_13796	WH.0100.0	BL.0325.0	100_325	14	Enlarged
BD_13795	BL.0325.0	BL.0325.0	100_325	14	Enlarged
BD_29998	WH.0100.0	WH.0100.0	100_325	14	Reduced
BD_29997	BL.0325.0	WH.0100.0	100_325	14	Reduced
BD_29996	BL.0325.0	WH.0100.0	100_325	14	Reduced
BD_29995	WH.0100.0	WH.0100.0	100_325	14	Reduced
BD_29994	WH.0100.0	WH.0100.0	100_325	14	Reduced
BD_29993	WH.0100.0	WH.0100.0	100_325	14	Reduced
BD_83123	WH.0175.0	WH.0175.0	109_175	14	Enlarged
BD_83122	WH.0175.0	WH.0175.0	109_175	14	Enlarged
BD_83121	WH.0109.0	WH.0175.0	109_175	14	Enlarged
BD_83120	WH.0109.0	WH.0175.0	109_175	14	Enlarged
BD_83119	WH.0109.0	WH.0175.0	109_175	14	Enlarged
BD_83118	WH.0109.0	WH.0175.0	109_175	14	Enlarged
BD_83117	WH.0109.0	WH.0175.0	109_175	14	Enlarged
BD_83116	WH.0175.0	WH.0175.0	109_175	14	Enlarged
BD_83138	WH.0109.0	WH.0109.0	109_175	14	Reduced
BD_83137	WH.0175.0	WH.0109.0	109_175	14	Reduced
BD_83136	WH.0175.0	WH.0109.0	109_175	14	Reduced
BD_83135	WH.0109.0	WH.0109.0	109_175	14	Reduced
BD_83134	WH.0109.0	WH.0109.0	109_175	14	Reduced
BD_30743	WH.0011.0	WH.0011.0	11_128	14	Control
BD_30742	WH.0011.0	WH.0011.0	11_128	14	Control
BD_30741	WH.0128.0	WH.0011.0	11_128	14	Control
BD_30739	WH.0128.0	WH.0011.0	11_128	14	Control
BD_30738	WH.0128.0	WH.0011.0	11_128	14	Control
BD_30736	WH.0011.0	WH.0011.0	11_128	14	Control
BD_30735	WH.0011.0	WH.0011.0	11_128	14	Control
BD_30617	WH.0128.0	WH.0128.0	11_128	14	Control
BD_30616	WH.0128.0	WH.0128.0	11_128	14	Control
BD_30615	WH.0011.0	WH.0128.0	11_128	14	Control
BD_30614	WH.0128.0	WH.0128.0	11_128	14	Control
BD_30613	WH.0011.0	WH.0128.0	11_128	14	Control
BD_83321	WH.0185.0	WH.0185.0	112_185	14	Control
BD_83110	WH.0185.0	WH.0185.0	112_185	14	Control
BD_83109	WH.0112.0	WH.0185.0	112_185	14	Control
BD_83108	WH.0185.0	WH.0185.0	112_185	14	Control
BD_83107	WH.0112.0	WH.0185.0	112_185	14	Control
BD_83106	WH.0185.0	WH.0185.0	112_185	14	Control
BD_83105	WH.0112.0	WH.0185.0	112_185	14	Control
BD_83104	WH.0185.0	WH.0185.0	112_185	14	Control
BD_83103	WH.0112.0	WH.0185.0	112_185	14	Control
BD_83039	WH.0112.0	WH.0112.0	112_185	14	Control
BD_83038	WH.0112.0	WH.0112.0	112_185	14	Control
BD_83037	WH.0185.0	WH.0112.0	112_185	14	Control
BD_83036	WH.0185.0	WH.0112.0	112_185	14	Control
BD_83035	WH.0112.0	WH.0112.0	112_185	14	Control
BD_83034	WH.0112.0	WH.0112.0	112_185	14	Control
BD_83033	WH.0185.0	WH.0112.0	112_185	14	Control
BD_83032	WH.0185.0	WH.0112.0	112_185	14	Control
BD_83031	WH.0112.0	WH.0112.0	112_185	14	Control
BD_83030	WH.0112.0	WH.0112.0	112_185	14	Control
BD_83029	WH.0112.0	WH.0112.0	112_185	14	Control
BD_30734	WH.0181.0	WH.0181.0	117_181	14	Reduced
BD_30733	WH.0117.0	WH.0181.0	117_181	14	Reduced
BD_30732	WH.0117.0	WH.0181.0	117_181	14	Reduced
BD_30731	WH.0181.0	WH.0181.0	117_181	14	Reduced
BD_30730	WH.0117.0	WH.0181.0	117_181	14	Reduced
BD_30729	WH.0181.0	WH.0181.0	117_181	14	Reduced
BD_83284	WH.0121.0	WH.0121.0	121_123	14	Reduced
BD_83283	WH.0121.0	WH.0121.0	121_123	14	Reduced
BD_83282	WH.0123.0	WH.0121.0	121_123	14	Reduced
BD_83281	WH.0123.0	WH.0121.0	121_123	14	Reduced
BD_83280	WH.0123.0	WH.0121.0	121_123	14	Reduced
BD_83279	WH.0123.0	WH.0121.0	121_123	14	Reduced
BD_83278	WH.0121.0	WH.0121.0	121_123	14	Reduced
BD_30707	WH.0129.0	WH.0129.0	129_322	14	Enlarged
BD_30706	BL.0322.0	WH.0129.0	129_322	14	Enlarged
BD_30705	BL.0322.0	WH.0129.0	129_322	14	Enlarged
BD_30704	WH.0129.0	WH.0129.0	129_322	14	Enlarged
BD_30703	BL.0322.0	WH.0129.0	129_322	14	Enlarged
BD_30702	BL.0322.0	WH.0129.0	129_322	14	Enlarged
BD_30701	BL.0322.0	WH.0129.0	129_322	14	Enlarged
BD_30600	WH.0129.0	WH.0129.0	129_322	14	Enlarged
BD_30599	WH.0129.0	WH.0129.0	129_322	14	Enlarged
BD_30728	WH.0129.0	BL.0322.0	129_322	14	Reduced
BD_30727	BL.0322.0	BL.0322.0	129_322	14	Reduced
BD_30726	BL.0322.0	BL.0322.0	129_322	14	Reduced
BD_30725	BL.0322.0	BL.0322.0	129_322	14	Reduced
BD_30724	WH.0129.0	BL.0322.0	129_322	14	Reduced
BD_30582	WH.0157.0	WH.0157.0	130_157	14	Enlarged
BD_30581	WH.0130.0	WH.0157.0	130_157	14	Enlarged
BD_30580	WH.0130.0	WH.0157.0	130_157	14	Enlarged
BD_30579	WH.0157.0	WH.0157.0	130_157	14	Enlarged
BD_30578	WH.0130.0	WH.0157.0	130_157	14	Enlarged
BD_30577	WH.0130.0	WH.0157.0	130_157	14	Enlarged
