File,RNR,Role,GeneticNK,FosterNK,CaptureDate,Treatment,Pair,Library,Mol_sex,Age,Category
BD_13795_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_13795,Chick,BL.0325.0,BL.0325.0,2018-05-18,Enlarged,100_325,B1,Male,Nestling,Nest A Stayed
BD_29990_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_29990,Chick,BL.0325.0,BL.0325.0,2018-05-18,Enlarged,100_325,B1,Female,Nestling,Nest A Stayed
BD_29991_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_29991,Chick,BL.0325.0,BL.0325.0,2018-05-18,Enlarged,100_325,B1,Female,Nestling,Nest A Stayed
BD_13800_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_13800,Chick,WH.0100.0,BL.0325.0,2018-05-18,Enlarged,100_325,B1,Male,Nestling,Nest B Cross-fostered
BD_29987_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_29987,Chick,WH.0100.0,BL.0325.0,2018-05-18,Enlarged,100_325,B1,Female,Nestling,Nest B Cross-fostered
BD_29988_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_29988,Chick,WH.0100.0,BL.0325.0,2018-05-18,Enlarged,100_325,B1,Male,Nestling,Nest B Cross-fostered
BD_29996_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_29996,Chick,BL.0325.0,WH.0100.0,2018-05-18,Reduced,100_325,B1,Female,Nestling,Nest A Cross-fostered
BD_29997_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_29997,Chick,BL.0325.0,WH.0100.0,2018-05-18,Reduced,100_325,B1,Male,Nestling,Nest A Cross-fostered
BD_29993_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_29993,Chick,WH.0100.0,WH.0100.0,2018-05-18,Reduced,100_325,B1,Male,Nestling,Nest B Stayed
BD_29994_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_29994,Chick,WH.0100.0,WH.0100.0,2018-05-18,Reduced,100_325,B1,Female,Nestling,Nest B Stayed
BD_29998_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_29998,Chick,WH.0100.0,WH.0100.0,2018-05-18,Reduced,100_325,B1,Male,Nestling,Nest B Stayed
BD_30655_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30655,Chick,WH.0049.0,WH.0049.0,2018-05-19,Control,49_75,B1,Female,Nestling,Nest A Stayed
BD_30737_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30737,Chick,WH.0075.0,WH.0049.0,2018-05-19,Control,49_75,B1,Male,Nestling,Nest B Cross-fostered
BD_83200_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83200,Chick,WH.0049.0,WH.0075.0,2018-05-19,Control,49_75,B1,Male,Nestling,Nest A Cross-fostered
BD_83194_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83194,Chick,WH.0075.0,WH.0075.0,2018-05-19,Control,49_75,B1,Male,Nestling,Nest B Stayed
BD_83196_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83196,Chick,WH.0075.0,WH.0075.0,2018-05-19,Control,49_75,B1,Female,Nestling,Nest B Stayed
BD_30671_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30671,Chick,WH.0005.0,WH.0005.0,2018-05-20,Control,5_13,B1,Male,Nestling,Nest A Stayed
BD_30675_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30675,Chick,WH.0005.0,WH.0005.0,2018-05-20,Control,5_13,B1,Male,Nestling,Nest A Stayed
BD_30678_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30678,Chick,WH.0005.0,WH.0005.0,2018-05-20,Control,5_13,B1,Female,Nestling,Nest A Stayed
BD_30674_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30674,Chick,WH.0013.0,WH.0005.0,2018-05-20,Control,5_13,B1,Female,Nestling,Nest B Cross-fostered
BD_30673_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30673,Chick,WH.0013.0,WH.0005.0,2018-05-20,Control,5_13,B1,Female,Nestling,Nest B Cross-fostered
BD_30677_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30677,Chick,WH.0013.0,WH.0005.0,2018-05-20,Control,5_13,B1,Female,Nestling,Nest B Cross-fostered
BD_30664_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30664,Chick,WH.0005.0,WH.0013.0,2018-05-20,Control,5_13,B1,Male,Nestling,Nest A Cross-fostered
BD_30668_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30668,Chick,WH.0005.0,WH.0013.0,2018-05-20,Control,5_13,B1,Male,Nestling,Nest A Cross-fostered
BD_30669_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30669,Chick,WH.0005.0,WH.0013.0,2018-05-20,Control,5_13,B1,Male,Nestling,Nest A Cross-fostered
BD_30665_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30665,Chick,WH.0013.0,WH.0013.0,2018-05-20,Control,5_13,B1,Female,Nestling,Nest B Stayed
BD_30663_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30663,Chick,WH.0013.0,WH.0013.0,2018-05-20,Control,5_13,B1,Male,Nestling,Nest B Stayed
BD_30667_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30667,Chick,WH.0013.0,WH.0013.0,2018-05-20,Control,5_13,B1,Male,Nestling,Nest B Stayed
BD_30551_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30551,Chick,WH.0133.0,WH.0133.0,2018-05-18,Enlarged,133_168,B2,Male,Nestling,Nest A Stayed
BD_30552_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30552,Chick,WH.0133.0,WH.0133.0,2018-05-18,Enlarged,133_168,B2,Male,Nestling,Nest A Stayed
BD_30557_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30557,Chick,WH.0133.0,WH.0133.0,2018-05-18,Enlarged,133_168,B2,Male,Nestling,Nest A Stayed
BD_30554_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30554,Chick,WH.0168.0,WH.0133.0,2018-05-18,Enlarged,133_168,B2,Female,Nestling,Nest B Cross-fostered
