"","chr","start","CHR_POS","region"
"2","NC_031768.1",4650,"NC_031768.1_4650","Intergenic"
"8","NC_031768.1",21965,"NC_031768.1_21965","Intergenic"
"9","NC_031768.1",22064,"NC_031768.1_22064","Intergenic"
"17","NC_031768.1",183745,"NC_031768.1_183745","Promoter"
"22","NC_031768.1",198359,"NC_031768.1_198359","Intergenic"
"30","NC_031768.1",257522,"NC_031768.1_257522","Intergenic"
"54","NC_031768.1",288145,"NC_031768.1_288145","Gene body"
"96","NC_031768.1",369248,"NC_031768.1_369248","Gene body"
"97","NC_031768.1",369262,"NC_031768.1_369262","Gene body"
"122","NC_031768.1",471744,"NC_031768.1_471744","Intergenic"
"132","NC_031768.1",495181,"NC_031768.1_495181","Up- or downstream"
"136","NC_031768.1",495260,"NC_031768.1_495260","Up- or downstream"
"137","NC_031768.1",495268,"NC_031768.1_495268","Up- or downstream"
"138","NC_031768.1",495288,"NC_031768.1_495288","Up- or downstream"
"139","NC_031768.1",495303,"NC_031768.1_495303","Up- or downstream"
"140","NC_031768.1",495310,"NC_031768.1_495310","Up- or downstream"
"143","NC_031768.1",495356,"NC_031768.1_495356","Up- or downstream"
"144","NC_031768.1",495359,"NC_031768.1_495359","Up- or downstream"
"185","NC_031768.1",694096,"NC_031768.1_694096","Intergenic"
"191","NC_031768.1",878710,"NC_031768.1_878710","Up- or downstream"
"201","NC_031768.1",878845,"NC_031768.1_878845","Up- or downstream"
"202","NC_031768.1",878878,"NC_031768.1_878878","Up- or downstream"
"221","NC_031768.1",1115206,"NC_031768.1_1115206","Gene body"
"223","NC_031768.1",1115232,"NC_031768.1_1115232","Gene body"
"224","NC_031768.1",1115240,"NC_031768.1_1115240","Gene body"
"225","NC_031768.1",1115257,"NC_031768.1_1115257","Gene body"
"226","NC_031768.1",1115275,"NC_031768.1_1115275","Gene body"
"228","NC_031768.1",1115293,"NC_031768.1_1115293","Gene body"
"229","NC_031768.1",1115295,"NC_031768.1_1115295","Gene body"
"230","NC_031768.1",1115316,"NC_031768.1_1115316","Gene body"
"231","NC_031768.1",1115319,"NC_031768.1_1115319","Gene body"
"232","NC_031768.1",1115370,"NC_031768.1_1115370","Gene body"
"233","NC_031768.1",1115378,"NC_031768.1_1115378","Gene body"
"234","NC_031768.1",1115380,"NC_031768.1_1115380","Gene body"
"240","NC_031768.1",1144024,"NC_031768.1_1144024","Intergenic"
"242","NC_031768.1",1144084,"NC_031768.1_1144084","Intergenic"
"243","NC_031768.1",1144100,"NC_031768.1_1144100","Intergenic"
"348","NC_031768.1",2182353,"NC_031768.1_2182353","Intergenic"
"479","NC_031768.1",3159955,"NC_031768.1_3159955","Gene body"
"481","NC_031768.1",3160056,"NC_031768.1_3160056","Gene body"
"524","NC_031768.1",4359939,"NC_031768.1_4359939","Intergenic"
"552","NC_031768.1",4477332,"NC_031768.1_4477332","Gene body"
"613","NC_031768.1",5015435,"NC_031768.1_5015435","Intergenic"
"614","NC_031768.1",5054657,"NC_031768.1_5054657","Intergenic"
"616","NC_031768.1",5054772,"NC_031768.1_5054772","Intergenic"
"654","NC_031768.1",5398497,"NC_031768.1_5398497","Up- or downstream"
"658","NC_031768.1",5398693,"NC_031768.1_5398693","Up- or downstream"
"818","NC_031768.1",7630116,"NC_031768.1_7630116","Intergenic"
"819","NC_031768.1",7630126,"NC_031768.1_7630126","Intergenic"
"820","NC_031768.1",7630132,"NC_031768.1_7630132","Intergenic"
"821","NC_031768.1",7630140,"NC_031768.1_7630140","Intergenic"
"822","NC_031768.1",7630145,"NC_031768.1_7630145","Intergenic"
"823","NC_031768.1",7630173,"NC_031768.1_7630173","Intergenic"
"824","NC_031768.1",7630246,"NC_031768.1_7630246","Intergenic"
"827","NC_031768.1",7630314,"NC_031768.1_7630314","Intergenic"
"834","NC_031768.1",7630477,"NC_031768.1_7630477","Intergenic"
"835","NC_031768.1",7630483,"NC_031768.1_7630483","Intergenic"
"866","NC_031768.1",7643047,"NC_031768.1_7643047","Promoter"
"902","NC_031768.1",7662481,"NC_031768.1_7662481","Gene body"
"909","NC_031768.1",7664742,"NC_031768.1_7664742","Gene body"
"911","NC_031768.1",7664752,"NC_031768.1_7664752","Gene body"
"912","NC_031768.1",7664762,"NC_031768.1_7664762","Gene body"
"913","NC_031768.1",7664768,"NC_031768.1_7664768","Gene body"
"914","NC_031768.1",7664773,"NC_031768.1_7664773","Gene body"
"915","NC_031768.1",7664785,"NC_031768.1_7664785","Gene body"
"916","NC_031768.1",7664804,"NC_031768.1_7664804","Gene body"
"917","NC_031768.1",7664836,"NC_031768.1_7664836","Gene body"
"1002","NC_031768.1",7684572,"NC_031768.1_7684572","Gene body"
"1017","NC_031768.1",7718266,"NC_031768.1_7718266","Gene body"
"1018","NC_031768.1",7804760,"NC_031768.1_7804760","Intergenic"
"1020","NC_031768.1",7804765,"NC_031768.1_7804765","Intergenic"
"1022","NC_031768.1",7804778,"NC_031768.1_7804778","Intergenic"
"1027","NC_031768.1",7804850,"NC_031768.1_7804850","Intergenic"
"1028","NC_031768.1",7804861,"NC_031768.1_7804861","Intergenic"
"1029","NC_031768.1",7804869,"NC_031768.1_7804869","Intergenic"
"1030","NC_031768.1",7804871,"NC_031768.1_7804871","Intergenic"
"1031","NC_031768.1",7804881,"NC_031768.1_7804881","Intergenic"
"1032","NC_031768.1",7804884,"NC_031768.1_7804884","Intergenic"
"1047","NC_031768.1",8030313,"NC_031768.1_8030313","Intergenic"
"1049","NC_031768.1",8030352,"NC_031768.1_8030352","Intergenic"
"1051","NC_031768.1",8030383,"NC_031768.1_8030383","Intergenic"
"1054","NC_031768.1",8037509,"NC_031768.1_8037509","Intergenic"
"1055","NC_031768.1",8037559,"NC_031768.1_8037559","Intergenic"
"1137","NC_031768.1",8488885,"NC_031768.1_8488885","Promoter"
"1152","NC_031768.1",9293263,"NC_031768.1_9293263","Intergenic"
"1198","NC_031768.1",10812221,"NC_031768.1_10812221","Intergenic"
"1215","NC_031768.1",11738327,"NC_031768.1_11738327","Intergenic"
"1232","NC_031768.1",12630785,"NC_031768.1_12630785","Intergenic"
"1498","NC_031768.1",15903375,"NC_031768.1_15903375","Intergenic"
"1512","NC_031768.1",16133601,"NC_031768.1_16133601","Intergenic"
"1540","NC_031768.1",16842185,"NC_031768.1_16842185","Up- or downstream"
"1552","NC_031768.1",16842856,"NC_031768.1_16842856","Up- or downstream"
"1688","NC_031768.1",20090901,"NC_031768.1_20090901","Intergenic"
"1692","NC_031768.1",20091028,"NC_031768.1_20091028","Intergenic"
"1694","NC_031768.1",20091035,"NC_031768.1_20091035","Intergenic"
"1695","NC_031768.1",20091038,"NC_031768.1_20091038","Intergenic"
"1697","NC_031768.1",20145823,"NC_031768.1_20145823","Intergenic"
"1698","NC_031768.1",20145857,"NC_031768.1_20145857","Intergenic"
"1699","NC_031768.1",20145880,"NC_031768.1_20145880","Intergenic"
"1700","NC_031768.1",20145902,"NC_031768.1_20145902","Intergenic"
"1722","NC_031768.1",20454214,"NC_031768.1_20454214","Gene body"
"1726","NC_031768.1",20829710,"NC_031768.1_20829710","Up- or downstream"
"1727","NC_031768.1",20829726,"NC_031768.1_20829726","Up- or downstream"
"1764","NC_031768.1",23734210,"NC_031768.1_23734210","Promoter"
"1770","NC_031768.1",23808716,"NC_031768.1_23808716","Intergenic"
"1981","NC_031768.1",25792065,"NC_031768.1_25792065","Intergenic"
"2066","NC_031768.1",27742649,"NC_031768.1_27742649","Intergenic"
"2067","NC_031768.1",27742812,"NC_031768.1_27742812","Intergenic"
"2068","NC_031768.1",27742831,"NC_031768.1_27742831","Intergenic"
"2109","NC_031768.1",28307842,"NC_031768.1_28307842","Intergenic"
"2124","NC_031768.1",29474940,"NC_031768.1_29474940","Intergenic"
"2236","NC_031768.1",29776026,"NC_031768.1_29776026","Intergenic"
"2265","NC_031768.1",30335706,"NC_031768.1_30335706","Gene body"
"2348","NC_031768.1",30981700,"NC_031768.1_30981700","Up- or downstream"
"2391","NC_031768.1",32828978,"NC_031768.1_32828978","Promoter"
"2417","NC_031768.1",32914393,"NC_031768.1_32914393","Gene body"
"2418","NC_031768.1",32914408,"NC_031768.1_32914408","Gene body"
"2420","NC_031768.1",32914459,"NC_031768.1_32914459","Gene body"
"2435","NC_031768.1",32925298,"NC_031768.1_32925298","Gene body"
"2545","NC_031768.1",33873711,"NC_031768.1_33873711","Up- or downstream"
